Frequency,Phase
1.726780903884355400e-01,-6.871736391975407088e-01
1.738762400216250781e-01,-6.919432172889996568e-01
1.750827031735724126e-01,-6.967459218719936898e-01
1.762975375287205715e-01,-7.015819834730263604e-01
1.775208011717634982e-01,-7.064516342322731957e-01
1.787525525904234969e-01,-7.113551079150733925e-01
1.799928506782476900e-01,-7.162926399235112207e-01
1.812417547374236826e-01,-7.212644673080795821e-01
1.824993244816152382e-01,-7.262708287794344963e-01
1.837656200388171346e-01,-7.313119647202358520e-01
1.850407019542301690e-01,-7.363881171970780848e-01
1.863246311931560373e-01,-7.414995299725101185e-01
1.876174691439120579e-01,-7.466464485171457888e-01
1.889192776207666291e-01,-7.518291200218651937e-01
1.902301188668944765e-01,-7.570477934101090822e-01
1.915500555573527997e-01,-7.623027193502643906e-01
1.928791508020778200e-01,-7.675941502681445927e-01
1.942174681489025334e-01,-7.729223403595653075e-01
1.955650715865949185e-01,-7.782875456030126093e-01
1.969220255479172399e-01,-7.836900237724092610e-01
1.982883949127071388e-01,-7.891300344499768693e-01
1.996642450109794020e-01,-7.946078390391980717e-01
2.010496416260497965e-01,-8.001237007778736476e-01
2.024446509976803865e-01,-8.056778847512827690e-01
2.038493398252463062e-01,-8.112706579054392853e-01
2.052637752709252084e-01,-8.169022890604544784e-01
2.066880249629082511e-01,-8.225730489239975185e-01
2.081221569986338171e-01,-8.282832101048627216e-01
2.095662399480432980e-01,-8.340330471266359513e-01
2.110203428568595552e-01,-8.398228364414703773e-01
2.124845352498882789e-01,-8.456528564439672602e-01
2.139588871343422183e-01,-8.515233874851605433e-01
2.154434690031883370e-01,-8.574347118866120221e-01
2.169383518385184229e-01,-8.633871139546160922e-01
2.184436071149427339e-01,-8.693808799945098587e-01
2.199593068030074872e-01,-8.754162983250980412e-01
2.214855233726359951e-01,-8.814936592931883474e-01
2.230223297965937546e-01,-8.876132552882386451e-01
2.245697995539774061e-01,-8.937753807571191533e-01
2.261280066337278405e-01,-8.999803322189893207e-01
2.276970255381680075e-01,-9.062284082802870566e-01
2.292769312865649278e-01,-9.125199096498416429e-01
2.308677994187168514e-01,-9.188551391541002200e-01
2.324697059985647851e-01,-9.252344017524717357e-01
2.340827276178293059e-01,-9.316580045527943499e-01
2.357069413996727703e-01,-9.381262568269242985e-01
2.373424250023866700e-01,-9.446394700264451050e-01
2.389892566231049675e-01,-9.511979577985018031e-01
2.406475150015424114e-01,-9.578020360017576174e-01
2.423172794237599403e-01,-9.644520227224827602e-01
2.439986297259550130e-01,-9.711482382907605793e-01
2.456916462982790816e-01,-9.778910052968307065e-01
2.473964100886813511e-01,-9.846806486075596609e-01
2.491130026067788494e-01,-9.915174953830376836e-01
2.508415059277540049e-01,-9.984018750933142394e-01
2.525820026962784515e-01,-1.005334119535262527e+00
2.543345761304649510e-01,-1.012314562849579325e+00
2.560993100258458499e-01,-1.019343541537921505e+00
2.578762887593800679e-01,-1.026421394480182547e+00
2.596655972934870937e-01,-1.033548462951899172e+00
2.614673211801092356e-01,-1.040725090641808404e+00
2.632815465648021269e-01,-1.047951623669537646e+00
2.651083601908538201e-01,-1.055228410603442635e+00
2.669478494034320804e-01,-1.062555802478587941e+00
2.688001021537606006e-01,-1.069934152814872697e+00
2.706652070033241375e-01,-1.077363817635300203e+00
